#
#   Mass - radius relations for carbon core WDs with:
#   a helium envelope:    M_{He}/M_{*} = 10^{-2}
#   a hydrogen envelope:  M_{H}/M_{*} = 10^{-5}
#   in units of WD stellar mass.
#
#   T_{eff}:   effective temperature (in 10^3 K)
#   M/Mo:      stellar mass in units of solar masses
#   100 R/Ro:  100 x [stellar radius in units of solar radius]
#
# T_{eff}[10^3 K]   M/Mo     100 R/Ro
#
   5.0000000    0.4000000    1.5322602
  15.0000000    0.4000000    1.6932165
  25.0000000    0.4000000    1.8902748
  35.0000000    0.4000000    2.1725852
  45.0000000    0.4000000    2.7282119
   5.0000000    0.4100000    1.5141173
  15.0000000    0.4100000    1.6660893
  25.0000000    0.4100000    1.8482647
  35.0000000    0.4100000    2.1014617
  45.0000000    0.4100000    2.5574668
   5.0000000    0.4200000    1.4965844
  15.0000000    0.4200000    1.6401147
  25.0000000    0.4200000    1.8087218
  35.0000000    0.4200000    2.0380510
  45.0000000    0.4200000    2.4208628
   5.0000000    0.4300000    1.4793917
  15.0000000    0.4300000    1.6152786
  25.0000000    0.4300000    1.7722329
  35.0000000    0.4300000    1.9808628
  45.0000000    0.4300000    2.3080784
   5.0000000    0.4400000    1.4626283
  15.0000000    0.4400000    1.5914157
  25.0000000    0.4400000    1.7379267
  35.0000000    0.4400000    1.9286733
  45.0000000    0.4400000    2.2127360
   5.0000000    0.4500000    1.4463124
  15.0000000    0.4500000    1.5684649
  25.0000000    0.4500000    1.7053897
  35.0000000    0.4500000    1.8808069
  45.0000000    0.4500000    2.1306381
   5.0000000    0.4600000    1.4302107
  15.0000000    0.4600000    1.5463339
  25.0000000    0.4600000    1.6745583
  35.0000000    0.4600000    1.8366135
  45.0000000    0.4600000    2.0587908
   5.0000000    0.4700000    1.4145881
  15.0000000    0.4700000    1.5249419
  25.0000000    0.4700000    1.6453380
  35.0000000    0.4700000    1.7954539
  45.0000000    0.4700000    1.9950360
   5.0000000    0.4800000    1.3990472
  15.0000000    0.4800000    1.5042659
  25.0000000    0.4800000    1.6175062
  35.0000000    0.4800000    1.7570663
  45.0000000    0.4800000    1.9378950
   5.0000000    0.4900000    1.3837973
  15.0000000    0.4900000    1.4842533
  25.0000000    0.4900000    1.5909795
  35.0000000    0.4900000    1.7209511
  45.0000000    0.4900000    1.8859981
   5.0000000    0.5000000    1.3689376
  15.0000000    0.5000000    1.4653846
  25.0000000    0.5000000    1.5662669
  35.0000000    0.5000000    1.6877099
  45.0000000    0.5000000    1.8392151
   5.0000000    0.5100000    1.3543010
  15.0000000    0.5100000    1.4465512
  25.0000000    0.5100000    1.5419338
  35.0000000    0.5100000    1.6552734
  45.0000000    0.5100000    1.7954872
   5.0000000    0.5200000    1.3400221
  15.0000000    0.5200000    1.4282323
  25.0000000    0.5200000    1.5185608
  35.0000000    0.5200000    1.6247464
  45.0000000    0.5200000    1.7546616
   5.0000000    0.5300000    1.3258286
  15.0000000    0.5300000    1.4103734
  25.0000000    0.5300000    1.4960586
  35.0000000    0.5300000    1.5959232
  45.0000000    0.5300000    1.7165166
   5.0000000    0.5400000    1.3121414
  15.0000000    0.5400000    1.3929823
  25.0000000    0.5400000    1.4743374
  35.0000000    0.5400000    1.5683526
  45.0000000    0.5400000    1.6806429
   5.0000000    0.5500000    1.2987104
  15.0000000    0.5500000    1.3759891
  25.0000000    0.5500000    1.4533611
  35.0000000    0.5500000    1.5419157
  45.0000000    0.5500000    1.6468350
   5.0000000    0.5600000    1.2850653
  15.0000000    0.5600000    1.3593972
  25.0000000    0.5600000    1.4330597
  35.0000000    0.5600000    1.5165281
  45.0000000    0.5600000    1.6148066
   5.0000000    0.5700000    1.2720980
  15.0000000    0.5700000    1.3431752
  25.0000000    0.5700000    1.4133590
  35.0000000    0.5700000    1.4921677
  45.0000000    0.5700000    1.5844671
   5.0000000    0.5800000    1.2589445
  15.0000000    0.5800000    1.3272617
  25.0000000    0.5800000    1.3942297
  35.0000000    0.5800000    1.4688126
  45.0000000    0.5800000    1.5555615
   5.0000000    0.5900000    1.2461561
  15.0000000    0.5900000    1.3116346
  25.0000000    0.5900000    1.3756142
  35.0000000    0.5900000    1.4463690
  45.0000000    0.5900000    1.5278453
   5.0000000    0.6000000    1.2330940
  15.0000000    0.6000000    1.2963101
  25.0000000    0.6000000    1.3574948
  35.0000000    0.6000000    1.4247224
  45.0000000    0.6000000    1.5013769
   5.0000000    0.6100000    1.2204820
  15.0000000    0.6100000    1.2812480
  25.0000000    0.6100000    1.3398157
  35.0000000    0.6100000    1.4038346
  45.0000000    0.6100000    1.4762325
   5.0000000    0.6200000    1.2080257
  15.0000000    0.6200000    1.2664477
  25.0000000    0.6200000    1.3225527
  35.0000000    0.6200000    1.3835939
  45.0000000    0.6200000    1.4520005
   5.0000000    0.6300000    1.1956099
  15.0000000    0.6300000    1.2519255
  25.0000000    0.6300000    1.3056910
  35.0000000    0.6300000    1.3639689
  45.0000000    0.6300000    1.4286254
   5.0000000    0.6400000    1.1835193
  15.0000000    0.6400000    1.2376099
  25.0000000    0.6400000    1.2891863
  35.0000000    0.6400000    1.3449183
  45.0000000    0.6400000    1.4060530
   5.0000000    0.6500000    1.1714899
  15.0000000    0.6500000    1.2235553
  25.0000000    0.6500000    1.2730299
  35.0000000    0.6500000    1.3263785
  45.0000000    0.6500000    1.3842391
   5.0000000    0.6600000    1.1596485
  15.0000000    0.6600000    1.2096789
  25.0000000    0.6600000    1.2571918
  35.0000000    0.6600000    1.3083101
  45.0000000    0.6600000    1.3630792
   5.0000000    0.6700000    1.1478673
  15.0000000    0.6700000    1.1960340
  25.0000000    0.6700000    1.2416415
  35.0000000    0.6700000    1.2906854
  45.0000000    0.6700000    1.3426291
   5.0000000    0.6800000    1.1362327
  15.0000000    0.6800000    1.1825529
  25.0000000    0.6800000    1.2263859
  35.0000000    0.6800000    1.2734878
  45.0000000    0.6800000    1.3227459
   5.0000000    0.6900000    1.1242747
  15.0000000    0.6900000    1.1692757
  25.0000000    0.6900000    1.2114060
  35.0000000    0.6900000    1.2566650
  45.0000000    0.6900000    1.3034609
   5.0000000    0.7000000    1.1127434
  15.0000000    0.7000000    1.1561544
  25.0000000    0.7000000    1.1966772
  35.0000000    0.7000000    1.2402446
  45.0000000    0.7000000    1.2847538
   5.0000000    0.7100000    1.1014079
  15.0000000    0.7100000    1.1432068
  25.0000000    0.7100000    1.1821653
  35.0000000    0.7100000    1.2241278
  45.0000000    0.7100000    1.2664905
   5.0000000    0.7200000    1.0903676
  15.0000000    0.7200000    1.1303839
  25.0000000    0.7200000    1.1678820
  35.0000000    0.7200000    1.2083039
  45.0000000    0.7200000    1.2486938
   5.0000000    0.7300000    1.0790507
  15.0000000    0.7300000    1.1177249
  25.0000000    0.7300000    1.1538038
  35.0000000    0.7300000    1.1927603
  45.0000000    0.7300000    1.2313578
   5.0000000    0.7400000    1.0676131
  15.0000000    0.7400000    1.1052020
  25.0000000    0.7400000    1.1399224
  35.0000000    0.7400000    1.1774971
  45.0000000    0.7400000    1.2144367
   5.0000000    0.7500000    1.0565032
  15.0000000    0.7500000    1.0928035
  25.0000000    0.7500000    1.1262273
  35.0000000    0.7500000    1.1624908
  45.0000000    0.7500000    1.1978760
   5.0000000    0.7600000    1.0454687
  15.0000000    0.7600000    1.0805137
  25.0000000    0.7600000    1.1127176
  35.0000000    0.7600000    1.1477173
  45.0000000    0.7600000    1.1816655
   5.0000000    0.7700000    1.0347235
  15.0000000    0.7700000    1.0683541
  25.0000000    0.7700000    1.0993494
  35.0000000    0.7700000    1.1331627
  45.0000000    0.7700000    1.1657637
   5.0000000    0.7800000    1.0238052
  15.0000000    0.7800000    1.0562811
  25.0000000    0.7800000    1.0861480
  35.0000000    0.7800000    1.1188051
  45.0000000    0.7800000    1.1501756
   5.0000000    0.7900000    1.0128353
  15.0000000    0.7900000    1.0443294
