#
#   Mass - radius relations for carbon core WDs with:
#   a helium envelope:    M_{He}/M_{*} = 10^{-2}
#   in units of WD stellar mass.
#
#   T_{eff}:   effective temperature (in 10^3 K)
#   M/Mo:      stellar mass in units of solar masses
#   100 R/Ro:  100 x [stellar radius in units of solar radius]
#
# T_{eff}[10^3 K]   M/Mo     100 R/Ro
#
   5.0000000    0.3000000    1.7152536
   5.0000000    0.3100000    1.6912864
   5.0000000    0.3200000    1.6682748
   5.0000000    0.3300000    1.6460342
   5.0000000    0.3400000    1.6246351
   5.0000000    0.3500000    1.6038655
   5.0000000    0.3600000    1.5838219
   5.0000000    0.3700000    1.5643419
   5.0000000    0.3800000    1.5454823
   5.0000000    0.3900000    1.5270840
   5.0000000    0.4000000    1.5093134
   5.0000000    0.4100000    1.4917862
   5.0000000    0.4200000    1.4747801
   5.0000000    0.4300000    1.4581697
   5.0000000    0.4400000    1.4419284
   5.0000000    0.4500000    1.4260554
   5.0000000    0.4600000    1.4103434
   5.0000000    0.4800000    1.3800073
   5.0000000    0.5000000    1.3509643
   5.0000000    0.5200000    1.3233687
   5.0000000    0.5400000    1.2960467
   5.0000000    0.5600000    1.2695263
   5.0000000    0.5800000    1.2437522
   5.0000000    0.6000000    1.2187362
   5.0000000    0.6200000    1.1946284
   5.0000000    0.6400000    1.1706959
   5.0000000    0.6600000    1.1469114
   5.0000000    0.6800000    1.1238904
   5.0000000    0.7000000    1.1015964
   5.0000000    0.7200000    1.0793102
   5.0000000    0.7400000    1.0570728
   5.0000000    0.7600000    1.0351999
   5.0000000    0.7800000    1.0140390
   5.0000000    0.8000000    0.9923995
   5.0000000    0.8200000    0.9712590
   5.0000000    0.8400000    0.9502719
   5.0000000    0.8600000    0.9293884
   5.0000000    0.8800000    0.9085916
   5.0000000    0.9000000    0.8879953
   5.0000000    0.9200000    0.8671773
   5.0000000    0.9400000    0.8466500
   5.0000000    0.9600000    0.8258857
   5.0000000    0.9800000    0.8048378
   5.0000000    1.0000001    0.7840172
   5.0000000    1.0200001    0.7631856
   5.0000000    1.0400001    0.7417577
   5.0000000    1.0600001    0.7204710
   5.0000000    1.0800001    0.6988036
   5.0000000    1.1000000    0.6772560
   5.0000000    1.1250000    0.6491471
   5.0000000    1.1500000    0.6207061

  15.0000000    0.3000000    1.9325033
  15.0000000    0.3100000    1.8894997
  15.0000000    0.3200000    1.8498642
  15.0000000    0.3300000    1.8130544
  15.0000000    0.3400000    1.7789274
  15.0000000    0.3500000    1.7469107
  15.0000000    0.3600000    1.7167257
  15.0000000    0.3700000    1.6883220
  15.0000000    0.3800000    1.6613101
  15.0000000    0.3900000    1.6355534
  15.0000000    0.4000000    1.6113594
  15.0000000    0.4100000    1.5875384
  15.0000000    0.4200000    1.5650148
  15.0000000    0.4300000    1.5432842
  15.0000000    0.4400000    1.5223925
  15.0000000    0.4500000    1.5020793
  15.0000000    0.4600000    1.4825376
  15.0000000    0.4800000    1.4452139
  15.0000000    0.5000000    1.4104980
  15.0000000    0.5200000    1.3770741
  15.0000000    0.5400000    1.3451360
  15.0000000    0.5600000    1.3145800
  15.0000000    0.5800000    1.2851223
  15.0000000    0.6000000    1.2566756
  15.0000000    0.6200000    1.2291184
  15.0000000    0.6400000    1.2023889
  15.0000000    0.6600000    1.1763928
  15.0000000    0.6800000    1.1510995
  15.0000000    0.7000000    1.1263928
  15.0000000    0.7200000    1.1021536
  15.0000000    0.7400000    1.0784061
  15.0000000    0.7600000    1.0550674
  15.0000000    0.7800000    1.0320894
  15.0000000    0.8000000    1.0094440
  15.0000000    0.8200000    0.9870369
  15.0000000    0.8400000    0.9648764
  15.0000000    0.8600000    0.9429259
  15.0000000    0.8800000    0.9211309
  15.0000000    0.9000000    0.8994674
  15.0000000    0.9200000    0.8778892
  15.0000000    0.9400000    0.8563573
  15.0000000    0.9600000    0.8348557
  15.0000000    0.9800000    0.8133427
  15.0000000    1.0000001    0.7918551
  15.0000000    1.0200001    0.7701712
  15.0000000    1.0400001    0.7482349
  15.0000000    1.0600001    0.7254378
  15.0000000    1.0800001    0.7031036
  15.0000000    1.1000000    0.6816073
  15.0000000    1.1250000    0.6529433
  15.0000000    1.1500000    0.6239817
  15.0000000    1.1750000    0.5939339

  25.0000000    0.3000000    2.4006967
  25.0000000    0.3100000    2.3004567
  25.0000000    0.3200000    2.2138642
  25.0000000    0.3300000    2.1387789
  25.0000000    0.3400000    2.0721585
  25.0000000    0.3500000    2.0125558
  25.0000000    0.3600000    1.9587107
  25.0000000    0.3700000    1.9096466
  25.0000000    0.3800000    1.8646737
  25.0000000    0.3900000    1.8230319
  25.0000000    0.4000000    1.7849431
  25.0000000    0.4100000    1.7476380
  25.0000000    0.4200000    1.7137368
  25.0000000    0.4300000    1.6820197
  25.0000000    0.4400000    1.6518827
  25.0000000    0.4500000    1.6232503
  25.0000000    0.4600000    1.5960713
