#
#   Mass - radius relations for helium core WDs with:
#   a hydrogen envelope:  M_{H}/M_{*} = 3 x 10^{-4}
#   in units of WD stellar mass.
#
#   T_{eff}:   effective temperature (in 10^3 K)
#   M/Mo:      stellar mass in units of solar masses
#   100 R/Ro:  100 x [stellar radius in units of solar radius]
#
# T_{eff}[10^3 K]   M/Mo     100 R/Ro
#
   4.0000000    0.2443330    1.9444244
   8.0000000    0.2443330    2.3486487
  12.0000000    0.2443330    2.8039768
  16.0000000    0.2443330    3.6488670
  20.0000000    0.2443330    6.3169871
   4.0000000    0.2565500    1.9072290
   8.0000000    0.2565500    2.2657179
  12.0000000    0.2565500    2.6497144
  16.0000000    0.2565500    3.2833084
  20.0000000    0.2565500    4.9401816
   4.0000000    0.2693780    1.8689575
   8.0000000    0.2693780    2.1892632
  12.0000000    0.2693780    2.5156755
  16.0000000    0.2693780    3.0108254
  20.0000000    0.2693780    4.0697467
   4.0000000    0.2828470    1.8323122
   8.0000000    0.2828470    2.1174921
  12.0000000    0.2828470    2.3978812
  16.0000000    0.2828470    2.7954823
  20.0000000    0.2828470    3.5265425
   4.0000000    0.2969900    1.7968721
   8.0000000    0.2969900    2.0501613
  12.0000000    0.2969900    2.2926534
  16.0000000    0.2969900    2.6182678
  20.0000000    0.2969900    3.1582933
   4.0000000    0.3118390    1.7606254
   8.0000000    0.3118390    1.9867776
  12.0000000    0.3118390    2.1975619
  16.0000000    0.3118390    2.4683661
  20.0000000    0.3118390    2.8827989
   4.0000000    0.3274310    1.7244867
   8.0000000    0.3274310    1.9267206
  12.0000000    0.3274310    2.1106781
  16.0000000    0.3274310    2.3390734
  20.0000000    0.3274310    2.6654979
   4.0000000    0.3438020    1.6884865
   8.0000000    0.3438020    1.8695269
  12.0000000    0.3438020    2.0305043
  16.0000000    0.3438020    2.2250473
  20.0000000    0.3438020    2.4875992
   4.0000000    0.3609930    1.6523786
   8.0000000    0.3609930    1.8147552
  12.0000000    0.3609930    1.9561047
  16.0000000    0.3609930    2.1229517
  20.0000000    0.3609930    2.3392467
   4.0000000    0.3790420    1.6164090
   8.0000000    0.3790420    1.7619816
  12.0000000    0.3790420    1.8867172
  16.0000000    0.3790420    2.0302363
  20.0000000    0.3790420    2.2108629
   4.0000000    0.3979940    1.5802562
   8.0000000    0.3979940    1.7110683
  12.0000000    0.3979940    1.8212717
  16.0000000    0.3979940    1.9450130
  20.0000000    0.3979940    2.0976411
   4.0000000    0.4178940    1.5441723
   8.0000000    0.4178940    1.6615899
  12.0000000    0.4178940    1.7590259
  16.0000000    0.4178940    1.8660038
  20.0000000    0.4178940    1.9962370
   4.0000000    0.4387890    1.5079059
   8.0000000    0.4387890    1.6133845
  12.0000000    0.4387890    1.6992036
  16.0000000    0.4387890    1.7922158
  20.0000000    0.4387890    1.9043067
   4.0000000    0.4607280    1.4715794
   8.0000000    0.4607280    1.5661319
  12.0000000    0.4607280    1.6418249
  16.0000000    0.4607280    1.7228496
  20.0000000    0.4607280    1.8199173
   4.0000000    0.4837640    1.4349778
   8.0000000    0.4837640    1.5196187
  12.0000000    0.4837640    1.5864358
  16.0000000    0.4837640    1.6571007
  20.0000000    0.4837640    1.7414678
   4.0000000    0.5079530    1.3980465
   8.0000000    0.5079530    1.4736578
  12.0000000    0.5079530    1.5326846
  16.0000000    0.5079530    1.5943197
  20.0000000    0.5079530    1.6678404
