#
#   Mass - radius relations for iron core WDs with:
#   a helium envelope:    M_{He}/M_{*} = 10^{-2}
#   a hydrogen envelope:  M_{H}/M_{*} = 10^{-5}
#   in units of WD stellar mass.
#
#   T_{eff}:   effective temperature (in 10^3 K)
#   M/Mo:      stellar mass in units of solar masses
#   100 R/Ro:  100 x [stellar radius in units of solar radius]
#
# T_{eff}[10^3 K]   M/Mo     100 R/Ro
#
   5.0000000    0.4000000    1.2378562
  15.0000000    0.4000000    1.3273772
  25.0000000    0.4000000    1.4135604
  35.0000000    0.4000000    1.5075434
  45.0000000    0.4000000    1.6209969
  55.0000000    0.4000000    1.7664998
  70.0000000    0.4000000    2.1156227
   5.0000000    0.4100000    1.2231256
  15.0000000    0.4100000    1.3076173
  25.0000000    0.4100000    1.3885733
  35.0000000    0.4100000    1.4762414
  45.0000000    0.4100000    1.5800461
  55.0000000    0.4100000    1.7105958
  70.0000000    0.4100000    2.0090782
   5.0000000    0.4200000    1.2084388
  15.0000000    0.4200000    1.2885968
  25.0000000    0.4200000    1.3644982
  35.0000000    0.4200000    1.4466244
  45.0000000    0.4200000    1.5419987
  55.0000000    0.4200000    1.6600217
  70.0000000    0.4200000    1.9187191
   5.0000000    0.4300000    1.1941050
  15.0000000    0.4300000    1.2700488
  25.0000000    0.4300000    1.3414429
  35.0000000    0.4300000    1.4184525
  45.0000000    0.4300000    1.5064271
  55.0000000    0.4300000    1.6137129
  70.0000000    0.4300000    1.8417318
   5.0000000    0.4400000    1.1799808
  15.0000000    0.4400000    1.2521383
  25.0000000    0.4400000    1.3194423
  35.0000000    0.4400000    1.3915944
  45.0000000    0.4400000    1.4726767
  55.0000000    0.4400000    1.5710446
  70.0000000    0.4400000    1.7736431
   5.0000000    0.4500000    1.1657083
  15.0000000    0.4500000    1.2345113
  25.0000000    0.4500000    1.2982007
  35.0000000    0.4500000    1.3659565
  45.0000000    0.4500000    1.4407862
  55.0000000    0.4500000    1.5314843
  70.0000000    0.4500000    1.7126407
   5.0000000    0.4600000    1.1520710
  15.0000000    0.4600000    1.2173895
  25.0000000    0.4600000    1.2776943
  35.0000000    0.4600000    1.3414080
  45.0000000    0.4600000    1.4113776
  55.0000000    0.4600000    1.4946372
  70.0000000    0.4600000    1.6577029
   5.0000000    0.4700000    1.1385638
  15.0000000    0.4700000    1.2006811
  25.0000000    0.4700000    1.2578316
  35.0000000    0.4700000    1.3179000
  45.0000000    0.4700000    1.3833951
  55.0000000    0.4700000    1.4602068
  70.0000000    0.4700000    1.6079306
   5.0000000    0.4800000    1.1252438
  15.0000000    0.4800000    1.1842854
  25.0000000    0.4800000    1.2385705
  35.0000000    0.4800000    1.2952698
  45.0000000    0.4800000    1.3567625
  55.0000000    0.4800000    1.4278177
  70.0000000    0.4800000    1.5622782
   5.0000000    0.4900000    1.1122480
  15.0000000    0.4900000    1.1682978
  25.0000000    0.4900000    1.2198447
  35.0000000    0.4900000    1.2734558
  45.0000000    0.4900000    1.3312873
  55.0000000    0.4900000    1.3972349
  70.0000000    0.4900000    1.5202031
   5.0000000    0.5000000    1.0991877
  15.0000000    0.5000000    1.1525756
  25.0000000    0.5000000    1.2014534
  35.0000000    0.5000000    1.2524208
  45.0000000    0.5000000    1.3068034
  55.0000000    0.5000000    1.3680032
  70.0000000    0.5000000    1.4812832
   5.0000000    0.5100000    1.0862276
  15.0000000    0.5100000    1.1372857
  25.0000000    0.5100000    1.1837180
  35.0000000    0.5100000    1.2320337
  45.0000000    0.5100000    1.2832797
  55.0000000    0.5100000    1.3400863
  70.0000000    0.5100000    1.4449068
   5.0000000    0.5200000    1.0735090
  15.0000000    0.5200000    1.1221667
  25.0000000    0.5200000    1.1664835
  35.0000000    0.5200000    1.2122067
  45.0000000    0.5200000    1.2606428
  55.0000000    0.5200000    1.3139313
  70.0000000    0.5200000    1.4107881
   5.0000000    0.5300000    1.0613072
  15.0000000    0.5300000    1.1077763
  25.0000000    0.5300000    1.1496754
  35.0000000    0.5300000    1.1930751
  45.0000000    0.5300000    1.2388187
  55.0000000    0.5300000    1.2888738
  70.0000000    0.5300000    1.3786323
   5.0000000    0.5400000    1.0486938
  15.0000000    0.5400000    1.0930058
  25.0000000    0.5400000    1.1332348
  35.0000000    0.5400000    1.1745158
  45.0000000    0.5400000    1.2177190
  55.0000000    0.5400000    1.2648520
  70.0000000    0.5400000    1.3482090
   5.0000000    0.5500000    1.0364644
  15.0000000    0.5500000    1.0787271
  25.0000000    0.5500000    1.1171684
  35.0000000    0.5500000    1.1564337
  45.0000000    0.5500000    1.1973071
  55.0000000    0.5500000    1.2417196
  70.0000000    0.5500000    1.3193140
   5.0000000    0.5600000    1.0241604
  15.0000000    0.5600000    1.0645109
